n_files,total_mb,drizcorr,pctecorr,crsplit,subarray,detector,dtype,instr,mem_pred,wall_pred,bin_pred,wc_mean,wc_err,wc_std,x_mean,x_files,memory,wallclock,mem_bin
7,5,1,0,0,1,0,1,3,,,,,,,,,0.712168,63.0,0.0
2,1,0,0,1,1,1,0,3,,,,,,,,,0.692276,42.0,0.0
5,11,0,0,0,0,0,1,2,,,,,,,,,0.712732,81.0,0.0
5,21,0,0,0,0,0,1,2,,,,,,,,,0.727668,101.0,0.0
5,1,1,1,1,1,1,1,3,,,,,,,,,0.965444,340.0,0.0
5,69,1,1,1,0,1,1,0,,,,,,,,,2.232656,11762.0,1.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.701144,33.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.629804,52.0,0.0
2,10,0,0,0,1,0,0,3,,,,,,,,,0.73256,36.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.617856,47.0,0.0
2,8,0,0,0,0,0,0,2,,,,,,,,,0.712748,43.0,0.0
2,34,1,1,1,0,1,0,0,,,,,,,,,1.712048,2262.0,0.0
7,79,1,0,0,0,0,1,3,,,,,,,,,0.911236,148.0,0.0
3,1,0,0,0,0,0,0,1,,,,,,,,,1.413784,79.0,0.0
2,4,0,0,1,0,1,0,3,,,,,,,,,0.710972,36.0,0.0
5,69,1,1,1,0,1,1,0,,,,,,,,,1.55358,9713.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.53726,37.0,0.0
2,35,0,1,1,0,1,0,3,,,,,,,,,1.147532,1610.0,0.0
2,35,0,1,1,0,1,0,3,,,,,,,,,1.146916,1801.0,0.0
3,1,0,0,0,0,0,0,1,,,,,,,,,1.413736,95.0,0.0
2,1,1,0,0,1,0,0,3,,,,,,,,,0.69682,42.0,0.0
9,141,1,0,0,0,0,1,3,,,,,,,,,1.106352,264.0,0.0
5,5,1,0,1,0,0,1,0,,,,,,,,,0.725332,81.0,0.0
3,11,0,0,1,0,0,1,2,,,,,,,,,0.586672,46.0,0.0
3,1,0,0,0,0,0,0,1,,,,,,,,,1.412324,102.0,0.0
5,13,0,0,0,0,0,1,2,,,,,,,,,0.640128,58.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.57034,36.0,0.0
5,3,0,0,2,1,0,1,2,,,,,,,,,0.69114,51.0,0.0
3,5,0,0,2,0,0,1,2,,,,,,,,,0.590972,42.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.571624,32.0,0.0
2,8,1,0,0,1,0,0,3,,,,,,,,,0.741608,51.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.69024,36.0,0.0
2,2,1,0,0,1,0,0,3,,,,,,,,,0.696584,45.0,0.0
3,7,0,0,2,0,0,1,2,,,,,,,,,0.600752,44.0,0.0
5,70,1,1,1,0,1,1,3,,,,,,,,,2.24404,2266.0,1.0
3,1,0,0,0,1,0,1,1,,,,,,,,,0.690628,54.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.572124,38.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.689628,47.0,0.0
3,33,0,0,0,0,0,0,2,,,,,,,,,0.71098,46.0,0.0
5,5,1,0,1,0,0,1,0,,,,,,,,,0.72736,70.0,0.0
2,10,1,0,0,1,0,0,3,,,,,,,,,0.724776,49.0,0.0
6,69,1,1,2,0,1,1,0,,,,,,,,,2.201656,4319.0,1.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.57008,38.0,0.0
17,280,1,1,1,0,1,1,3,,,,,,,,,4.693384,6946.0,1.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.688784,34.0,0.0
9,123,1,0,0,0,0,1,3,,,,,,,,,1.055152,278.0,0.0
5,70,1,1,1,0,1,1,3,,,,,,,,,2.257816,1863.0,1.0
9,9,1,0,1,1,1,1,0,,,,,,,,,0.80468,135.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.570812,36.0,0.0
